"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med","med.urb","med.rur"
2021-08-02,2021-08-02 01:30:00,4.59999990463257,4.59999990463257,4.59999990463257,4.59999990463257,2021-08-02 13:30:00,30.9681663513184,29.8479156494141,30.571816444397,28.8145847320557,0.4,17.903167829621,17.4649268244225
2021-08-03,2021-08-03 23:00:00,11.4659729003906,11.4763412475586,11.4715185165405,11.6000003814697,2021-08-03 12:00:00,31.8999996185303,31.8999996185303,31.8999996185303,31.8999996185303,0.6,18.7684052610662,18.1966764568616
2021-08-04,2021-08-04 01:30:00,4.80000019073486,4.80000019073486,4.80000019073486,4.80000019073486,2021-08-04 13:00:00,34.6888885498047,34.685417175293,34.6243057250977,34.6576385498047,0.4,19.1275476009208,18.6987048835732
2021-08-05,2021-08-05 04:30:00,8.68263912200928,8.68263912200928,11.3909721374512,9.1340274810791,2021-08-05 12:30:00,33.3847465515137,33.2571601867676,33.1744190216064,32.4302789306641,0.4,20.7307956002983,20.2937914748121
2021-08-06,2021-08-06 22:00:00,12.8785161972046,14.9145832061768,13.1076476287842,14.9436109161377,2021-08-06 12:30:00,27.9916667938232,27.8979167938232,27.908332824707,27.6918055725098,0.3,18.9846070513415,18.7042059435517
2021-08-07,2021-08-07 04:00:00,9.35149002075195,6.69999980926514,10.128125,7.28050001144409,2021-08-07 12:00:00,28.7000007629395,28.7000007629395,28.7000007629395,28.7000007629395,0.4,18.1421203911518,17.7571970413682
2021-08-08,2021-08-08 04:30:00,6,5.48750019073486,6.59078514099121,5.64166688919067,2021-08-08 13:00:00,27.3840465545654,26.7479209899902,27.1480819702148,26.1699991607666,0.3,16.997344150058,16.7122384695211
2021-08-09,2021-08-09 00:30:00,12.1000003814697,12.1000003814697,12.1335650444031,12.1000003814697,2021-08-09 13:30:00,27.5909767150879,27.1118049621582,27.461531829834,26.739328994751,0.4,17.6401926818409,17.266518716662
2021-08-10,2021-08-10 02:00:00,10.1418838500977,7.89791679382324,10.8770837783813,8.43958282470703,2021-08-10 12:00:00,28.8868045806885,28.8868045806885,28.7719150543213,28.5912504577637,0.4,18.4291840978446,17.9857870645408
2021-08-11,2021-08-11 04:30:00,12.0020837783813,12.0020837783813,12.0020837783813,12.0148608016968,2021-08-11 12:30:00,33.8944473266602,33.5964279174805,33.8388900756836,33.2975025177002,1.1,20.984097251053,19.8606033061936
2021-08-12,2021-08-12 04:00:00,11.3999996185303,11.3999996185303,11.4194443702698,11.3999996185303,2021-08-12 11:30:00,35.6840286254883,35.5013275146484,35.6472980499268,35.1404177856445,0.5,21.0226733600974,20.5597188021504
2021-08-13,2021-08-13 01:30:00,9.30000019073486,9.30000019073486,9.30000019073486,9.30000019073486,2021-08-13 14:30:00,33.5674018859863,31.999439239502,33.1338085174561,31.318540725708,0.8,21.358039585647,20.6043059221673
2021-08-14,2021-08-14 04:30:00,12.0020837783813,12,12.0229167938232,12,2021-08-14 12:30:00,38.4535675048828,37.0883979797363,37.9205593109131,34.7722236633301,1.3,22.2460045908313,20.9717302568232
2021-08-15,2021-08-15 04:30:00,12.6950712203979,12.6145839691162,12.7139788627625,12.6440281295776,2021-08-15 12:00:00,35.9153022766113,36.1255493164062,35.8952121734619,35.7104148864746,0.8,22.05386914639,21.2889728697312
2021-08-16,2021-08-16 02:30:00,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,2021-08-16 10:30:00,22.9909915924072,23.1277351379395,22.8796678543091,22.5618057250977,0.2,15.4910441713357,15.2480021134203
2021-08-17,2021-08-17 05:00:00,4.96111106872559,4.40000009536743,5.08038187026978,4.5722222328186,2021-08-17 12:00:00,20.8999996185303,20.917911529541,20.8999996185303,20.8999996185303,0.2,15.0892713295458,14.8570056804038
